codigo;Tipo;Equipamentos;unid;C u s t o Produtivo;C u s t o Improdutivo;C u s t o Parado;C u s t o Aluguel;HORA-MAQUINA
01.001.000001;EQ;Gerador de vapor de aço inox com reservatório e quadro de comando digital para sauna úmida (potência: 6,0 kW / volume do ambiente: 6,0 m³ / tensão: 220 / 380 V);UN;;;;1;;
01.001.000002;EQ;Gerador de vapor de aço inox com reservatório e quadro de comando digital para sauna úmida (potência: 12,0 kW / tensão: 220 / 380 V / volume do ambiente: 18,0 m³);UN;;;;1;;
01.001.000003;EQ;Gerador de vapor de aço inox com reservatório e quadro de comando digital para sauna úmida (potência: 18,0 kW / tensão: 220 / 380 V / volume do ambiente: 30,0 m³);UN;;;;1;;
01.001.000004;EQ;Forno elétrico em chapa de aço carbono galvanizado com calha defletor e quadro de comando digital acabamento em aço inox espelhado para sauna seca (potência: 4,0 kW / volume do ambiente: 6,0 m³ / tensão: 220 V);UN;;;;1;;
01.001.000005;EQ;Forno elétrico em chapa de aço carbono galvanizado com calha defletor e quadro de comando digital acabamento em aço inox espelhado para sauna seca (tensão: 220 V / volume do ambiente: 20,0 m³ / potência: 10,0 kW);UN;;;;1;;
01.001.000006;EQ;Forno elétrico em chapa de aço carbono galvanizado com calha defletor e quadro de comando digital acabamento em aço inox espelhado para sauna seca (potência: 12,0 kW / tensão: 220 V / volume do ambiente: 30,0 m³);UN;;;;1;;
01.002.000002;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 1/3 HP / altura manométrica: 12 m / vazão: 6,8 m³/h);UN;;;;1;;
01.002.000003;EQ;Bomba de drenagem submersa elétrica (capacidade: 7 l/s / potência: 1,2 kW);UN;;;;1;;
01.002.000004;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 3 HP / altura manométrica: 33 m / vazão: 13,5 m³/h);UN;;;;1;;
01.002.000005;EQ;Bomba de drenagem submersa elétrica (capacidade: 28 l/s / potência: 4,3 kW);UN;;;;1;;
01.002.000007;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 10,00 HP / altura manométrica: 60 m / vazão: 30,6 m³/h);UN;;;;1;;
01.002.000008;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 3/4 HP / altura manométrica: 20 m / vazão: 10,8 m³/h);UN;;;;1;;
01.002.000009;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 1/2 HP / altura manométrica: 16 m / vazão: 8,3 m³/h);UN;;;;1;;
01.002.000010;EQ;Bomba de drenagem submersa elétrica (capacidade: 16 l/s / potência: 2,7 kW);UN;;;;1;;
01.002.000011;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 2,00 HP / altura manométrica: 28 m / vazão: 11,9 m³/h);UN;;;;1;;
01.002.000012;EQ;Bomba de drenagem submersa elétrica (capacidade: 50 l/s / potência: 9,2 kW);UN;;;;1;;
01.002.000013;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (potência: 5,00 HP / altura manométrica: 39 m / vazão: 19 m³/h);UN;;;;1;;
01.002.000014;EQ;Bomba de drenagem submersa diesel (capacidade: 16,6 l/s / potência: 3,7 kW);UN;;;;1;;
01.002.000015;EQ;Conjunto motor-bomba - centrífuga trifásico para recalque de água (vazão: 25,4 m³/h / potência: 7,50 HP / altura manométrica: 45 m);UN;;;;1;;
01.002.000016;EQ;Bomba de drenagem submersa gasolina (capacidade: 16,6 l/s / potência: 4,1 kW);UN;;;;1;;
01.004.000002;EQ;Trator sobre esteiras diesel lâmina tipo angulagem e inclinação hidráulica variável (capacidade da lâmina: 1,53 m³ / potência: 70 HP);UN;;;;1;;
01.004.000003;EQ;Trator sobre esteiras diesel lâmina tipo angulagem e inclinação hidráulica variável (capacidade da lâmina: 1,84 m³ / potência: 80 HP);UN;;;;1;;
01.004.000004;EQ;Trator de lâmina sobre esteiras diesel (potência: 110 HP / capacidade: 2,6 m³);UN;;;;1;;
01.004.000005;EQ;Trator sobre esteiras diesel lâmina tipo angulagem e inclinação hidráulica (capacidade da lâmina: 2,34 m³ / potência: 90 HP);UN;;;;1;;
01.004.000006;EQ;Trator sobre esteiras diesel lâmina tipo angulagem e inclinação hidráulica com passo variável (capacidade da lâmina: 2,60 m³ / potência: 121 HP);UN;;;;1;;
01.004.000007;EQ;Trator sobre esteiras diesel lâmina tipo angulagem e inclinação hidráulica com passo variável (capacidade da lâmina: 3,16 m³ / potência: 145 HP);UN;;;;1;;
01.004.000008;EQ;Trator sobre esteiras diesel lâmina tipo semi-universal (capacidade da lâmina: 4,28 m³ / potência: 150 HP);UN;;;;1;;
01.004.000009;EQ;Trator sobre esteiras diesel lâmina tipo angulável (capacidade da lâmina: 3,93 m³ / potência: 185 HP);UN;;;;1;;
01.004.000010;EQ;Trator sobre esteiras diesel lâmina tipo reta (capacidade da lâmina: 3,70 m³ / potência: 200 HP);UN;;;;1;;
01.004.000011;EQ;Trator sobre esteiras diesel lâmina tipo universal (capacidade da lâmina: 8,34 m³ / potência: 240 HP);UN;;;;1;;
01.004.000012;EQ;Trator sobre esteiras diesel lâmina tipo universal (capacidade da lâmina: 11,70 m³ / potência: 305 HP);UN;;;;1;;
01.004.000013;EQ;Trator sobre esteiras diesel lâmina tipo semi-universal (capacidade da lâmina: 8,70 m³ / potência: 310 HP);UN;;;;1;;
01.004.000014;EQ;Trator sobre esteiras diesel lâmina tipo universal (capacidade da lâmina: 16,40 m³ / potência: 410 HP);UN;;;;1;;
01.004.000015;EQ;Trator de lâmina sobre esteiras diesel (potência: 165 HP / capacidade: 3,8 m³);UN;;;;1;;
01.004.000016;EQ;Trator de lâmina sobre esteiras diesel (potência: 240 HP / capacidade: 4,1 m³);UN;;;;1;;
01.004.000017;EQ;Trator de lâmina sobre esteiras diesel com escarificador (potência: 165 HP / capacidade: 3,8 m³);UN;;;;1;;
01.004.000018;EQ;Trator sobre pneus diesel (potência: 36 HP);UN;;;;1;;
01.004.000019;EQ;Trator sobre pneus diesel (potência: 61 HP);UN;;;;1;;
01.004.000020;EQ;Trator sobre pneus diesel (potência: 74 HP);UN;;;;1;;
01.004.000021;EQ;Trator sobre pneus diesel (potência: 88 HP);UN;;;;1;;
01.004.000022;EQ;Trator sobre pneus diesel (potência: 99 HP);UN;;;;1;;
01.004.000023;EQ;Trator sobre pneus diesel (potência: 120 HP);UN;;;;1;;
01.004.000024;EQ;Trator sobre pneus diesel (potência: 143 HP);UN;;;;1;;
01.004.000025;EQ;Trator sobre pneus diesel (potência: 163 HP);UN;;;;1;;
01.004.000026;EQ;Microtrator com aparador de grama (potência: 11 HP);UN;;;;1;;
01.004.000027;EQ;Trator de lâmina sobre esteiras diesel (potência: 90 HP / capacidade: 2 m³);UN;;;;1;;
01.005.000004;EQ;Motosserra gasolina (cilindrada: 91,6 CM³ / potência: 5,2 kW);UN;;;;1;;
01.005.000005;EQ;Serra circular manual elétrica (potência: 1 kW);UN;;;;1;;
01.005.000006;EQ;Roçadeira costal gasolina (potência: 2 HP);UN;;;;1;;
01.005.000007;EQ;Maçarico de corte e solda;UN;;;;1;;
01.005.000008;EQ;Soldadora elétrica (capacidade: 400 A / potência: 88 kW);UN;;;;1;;
01.005.000009;EQ;Motosserra gasolina (cilindrada: 60,3 CM³ / potência: 2,8 kW);UN;;;;1;;
01.005.000010;EQ;Serra elétrica para corte de pavimento (potência: 7,5 HP);UN;;;;1;;
01.005.000011;EQ;Roçadeira rebocável (faixa de trabalho: 2m);UN;;;;1;;
01.005.000012;EQ;Motosserra gasolina (cilindrada: 72,2 CM³ / potência: 3,9 kW);UN;;;;1;;
01.005.000013;EQ;Serra gasolina para corte de pavimento (potência: 8 HP);UN;;;;1;;
01.005.000014;EQ;Motosserra gasolina (cilindrada: 89,2 CM³ / potência: 4,3 kW);UN;;;;1;;
01.005.000015;EQ;Serra gasolina para corte de pavimento (potência: 13 HP);UN;;;;1;;
01.005.000015;EQ;Maçarico de corte e solda com cabeça cortadora - vida útil 10.000 h;MÊS;;;;1;;
01.006.000001;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 116 pcm / potência: 63 HP);UN;;;;1;;
01.006.000002;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 149 pcm / potência: 62 HP);UN;;;;1;;
01.006.000003;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 200 pcm / potência: 78 HP);UN;;;;1;;
01.006.000004;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 295 pcm/ potência: 78 HP);UN;;;;1;;
01.006.000005;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 360 pcm / potência: 119 HP);UN;;;;1;;
01.006.000006;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 678 pcm  / potência: 269 HP);UN;;;;1;;
01.006.000007;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 762 pcm  / potência: 269 HP);UN;;;;1;;
01.006.000008;EQ;Compressor de ar de ar portátil rebocável diesel (capacidade: 891 pcm / potência: 269 HP);UN;;;;1;;
01.007.000001;EQ;Grupo gerador diesel para força (capacidade: 44 kVA / potência: 35 kW);UN;;;;1;;
01.007.000002;EQ;Grupo gerador diesel para força (capacidade: 65 kVA / potência: 50 kW);UN;;;;1;;
01.007.000003;EQ;Grupo gerador diesel para força (capacidade: 75 kVA / potência: 60 kW);UN;;;;1;;
01.007.000004;EQ;Grupo gerador diesel para força (capacidade: 188 kVA / potência: 150 kW);UN;;;;1;;
01.007.000005;EQ;Grupo gerador diesel para força (capacidade: 250 kVA / potência: 200 kW);UN;;;;1;;
01.007.000006;EQ;Grupo gerador diesel para força (capacidade: 313 kVA / potência: 265 kW);UN;;;;1;;
01.007.000007;EQ;Grupo gerador diesel para força (capacidade: 344 kVA / potência: 300 kW);UN;;;;1;;
01.007.000008;EQ;Grupo gerador diesel para solda (capacidade: 40/375 A / potência: 31 kW);UN;;;;1;;
01.007.000009;EQ;Grupo gerador diesel para solda (capacidade: 60/600 A / potência: 37 kW);UN;;;;1;;
01.009.000001;EQ;Jateadora de areia pneumática (capacidade: 270 l);UN;;;;1;;
01.011.000001;EQ;Termofusor básico sem bocais (diâmetro do bocal: 20/63 mm / potência: 800 W / tensão: 220 V);UN;;;;1;;
01.011.000002;EQ;Termofusor básico sem bocais (diâmetro do bocal: 20/110 mm / potência: 1400 W / tensão: 220 V);UN;;;;1;;
01.011.000003;EQ;Termofusor de bancada básico (diâmetro do bocal: 20/90 mm / potência: 1000 W / tensão: 220 V);UN;;;;1;;
01.012.000001;EQ;Cortardora de ferro elétrica (potência: 5 HP / capacidade de corte: CA-25 até 32 mm e CA-50 até 25 mm);UN;;;;1;;
01.012.000002;EQ;Cortardora de ferro elétrica (potência: 7,5 HP / capacidade de corte: CA-25 até 40 mm e CA-50 até 32 mm);UN;;;;1;;
01.012.000003;EQ;Cortardora de ferro manual (capacidade de corte: CA-25 até 32 mm e CA-50 até 25 mm);UN;;;;1;;
01.012.000004;EQ;Dobradora de ferro elétrica (potência: 3 HP / capacidade de dobra: CA-25 até 25 mm e CA-50 até 20 mm);UN;;;;1;;
01.012.000005;EQ;Dobradora de ferro elétrica (potência: 5 HP / capacidade de dobra: CA-25 até 32 mm e CA-50 até 25 mm);UN;;;;1;;
01.012.000006;EQ;Bate-estacas com martelo de 0,8 t diesel (potência: 13 HP);UN;;;;1;;
01.012.000007;EQ;Bate-estacas com martelo de 1,5 t diesel (potência: 29 HP);UN;;;;1;;
01.012.000008;EQ;Bate-estacas com martelo de 2,2 t diesel (potência: 40 HP);UN;;;;1;;
01.012.000009;EQ;Bate-estacas com martelo de 3,0 t diesel (potência: 58 HP);UN;;;;1;;
01.012.000010;EQ;Bate-estacas com martelo de 4,0 t diesel (potência: 120 HP);UN;;;;1;;
01.012.000011;EQ;Campânula para ar comprimido;UN;;;;1;;
01.012.000012;EQ;Bate-estacas "in loco" com pilão de 1 t diesel (potência: 40 HP);UN;;;;1;;
01.014.000004;EQ;Vibrador de imersão elétrico (potência: 1 HP);UN;;;;1;;
01.014.000006;EQ;Bomba de concreto rebocável diesel (capacidade: 30 m³/h / potência: 67 HP);UN;;;;1;;
01.014.000007;EQ;Bomba de concreto rebocável elétrica (capacidade: 35 m³/h / potência: 74 HP);UN;;;;1;;
01.014.000008;EQ;Bomba de concreto rebocável elétrica (capacidade: 53 m³/h / potência: 154 HP);UN;;;;1;;
01.014.000009;EQ;Bomba de argamassa rebocável elétrica tipo helicoidal (potência: 5,4 HP / capacidade: 0,4 a 2,4 m³/h);UN;;;;1;;
01.014.000010;EQ;Bomba de argamassa rebocável elétrica misturadora para projeção de gesso (potência: 7,4 HP/capacidade: 1,30 m³/h);UN;;;;1;;
01.014.000011;EQ;Argamassadeira elétrica (capacidade: 3,5 m³/h / potência: 3 HP);UN;;;;1;;
01.014.000012;EQ;Betoneira para caminhão (capacidade: 5 m³);UN;;;;1;;
01.014.000013;EQ;Betoneira elétrica trifásico (potência: 0,33 HP / capacidade: 120 l);UN;;;;1;;
01.014.000014;EQ;Usina de concreto (capacidade: 75 m³/h / potência: 62 HP);UN;;;;1;;
01.014.000015;EQ;Distribuidor de agregados rebocável (faixa de trabalho: 3,6 m);UN;;;;1;;
01.014.000016;EQ;Betoneira para caminhão (capacidade: 7 m³);UN;;;;1;;
01.014.000017;EQ;Betoneira elétrica (potência: 1 HP / capacidade: 250 l);UN;;;;1;;
01.014.000018;EQ;Usina de concreto (capacidade: 90 m³/h / potência: 91 HP);UN;;;;1;;
01.014.000019;EQ;Distribuidor de betume rebocável com aquecedor descarga por bomba (capacidade: 600 l / potência: 3,4 HP);UN;;;;1;;
01.014.000020;EQ;Vibrador de imersão gasolina (potência: 3 HP);UN;;;;1;;
01.014.000021;EQ;Betoneira elétrica bimotor (potência: 6 HP / capacidade: 600 l);UN;;;;1;;
01.014.000022;EQ;Distribuidor de betume rebocável com aquecedor descarga por gravidade (capacidade: 600 l);UN;;;;1;;
01.014.000023;EQ;Betoneira elétrica monofásico (potência: 2 HP / capacidade: 400 l);UN;;;;1;;
01.014.000024;EQ;Distribuidor de betume rebocável com aquecedor descarga por bomba (capacidade: 1200 l / potência: 3,4 HP);UN;;;;1;;
01.014.000025;EQ;Bomba de concreto rebocável diesel (capacidade: 57 m³/h / potência: 100 HP);UN;;;;1;;
01.014.000026;EQ;Distribuidor de betume rebocável com aquecedor descarga por bomba (capacidade: 2400 l / potência: 10 HP);UN;;;;1;;
01.014.000027;EQ;Distribuidor de betume rebocável com aquecedor descarga por gravidade (capacidade: 1200 l);UN;;;;1;;
01.015.000008;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro pé-de-carneiro em aço diesel (Peso operacional: 15,25 t / potência: 150 HP);UN;;;;1;;
01.015.000009;EQ;Régua vibratória simples elétrica para concreto (potência: 0,5 HP / faixa de trabalho: 2,8 m);UN;;;;1;;
01.015.000010;EQ;Régua vibratória dupla elétrica para concreto (potência: 1 HP / faixa de trabalho: 3 m);UN;;;;1;;
01.015.000011;EQ;Desempenadeira elétrica (potência: 3 HP);UN;;;;1;;
01.015.000012;EQ;Tanque irrigador com barra de irrigação e bico de pato (capacidade: 8000 l);UN;;;;1;;
01.015.000013;EQ;Usina de asfalto (capacidade: 80 t / potência: 117 kW);UN;;;;1;;
01.015.000014;EQ;Rolo compactador autopropelido vibratório tipo tandem com cilindros lisos em aço diesel (potência 50 HP / peso operacional: 4 t);UN;;;;1;;
01.015.000015;EQ;Motoescreiper sobre pneus diesel (potência: 265 HP / capacidade: 13 m³);UN;;;;1;;
01.015.000016;EQ;Motoniveladora sobre pneus diesel (potência nominal no volante do motor: 125 HP);UN;;;;1;;
01.015.000017;EQ;Rolo compactador autopropelido estático de pneus diesel (peso operacional: 6,5 t / potência: 74 HP);UN;;;;1;;
01.015.000018;EQ;Acabadora de superfície elétrica (potência: 2 HP);UN;;;;1;;
01.015.000019;EQ;Régua vibratória dupla elétrica para concreto (potência: 1 HP / faixa de trabalho: 4 m);UN;;;;1;;
01.015.000020;EQ;Tanque espargidor com bomba (capacidade: 6000 l);UN;;;;1;;
01.015.000021;EQ;Usina de asfalto (potência: 125 kW / capacidade: 110 t/h);UN;;;;1;;
01.015.000022;EQ;Rolo compactador autopropelido vibratório tipo tandem com cilindros lisos em aço diesel (potência 83 HP / peso operacional: 7,4 t);UN;;;;1;;
01.015.000023;EQ;Motoescreiper sobre pneus diesel escrêiper tipo padrão (capacidade coroada do escrêiper: 17 m³  / potência nominal no volante do motor: 365 HP);UN;;;;1;;
01.015.000024;EQ;Motoniveladora sobre pneus diesel lâmina tipo reta (potência nominal no volante do motor: 140 HP);UN;;;;1;;
01.015.000025;EQ;Rolo compactador autopropelido estático de pneus diesel (Peso operacional: 6 t / potência: 99 HP);UN;;;;1;;
01.015.000026;EQ;Acabadora de superfície elétrica (potência: 3 HP);UN;;;;1;;
01.015.000027;EQ;Usina de solos elétrica (potência: 111 kW / capacidade: 300 t/h);UN;;;;1;;
01.015.000028;EQ;Rolo compactador autopropelido vibratório tipo tandem com cilindros lisos em aço diesel (potência 130 HP / peso operacional: 10 t);UN;;;;1;;
01.015.000029;EQ;Motoescreiper sobre pneus diesel escrêiper tipo acionado em tandem (capacidade coroada do escrêiper: 26 m³  / potência do escrêiper: 283 HP / potência nominal no volante do motor: 500 HP);UN;;;;1;;
01.015.000030;EQ;Motoniveladora sobre pneus diesel lâmina tipo reta (potência nominal no volante do motor: 165 HP);UN;;;;1;;
01.015.000031;EQ;Rolo compactador autopropelido vibratório com pneus de tração e cilindro liso em aço diesel (Peso operacional: 7,1 t / potência: 80 HP);UN;;;;1;;
01.015.000032;EQ;Acabadora de superfície gasolina (potência: 4 HP);UN;;;;1;;
01.015.000033;EQ;Usina de solos elétrica (potência: 176 kW / capacidade: 600 t/h);UN;;;;1;;
01.015.000034;EQ;Rolo compactador rebocável estático pé-de-carneiro simples (peso operacional: 3 t);UN;;;;1;;
